JR SAKAI LINE TIMETABLE,,,,,,,,,,,,,,,,,,,
2026-03-14,,,,,,,,,,,,,,,,,,,
Fare,,,,,,,,,,,,,,,,,,,
Sakaiminato - Yonago:  330 yen,,,,,,,,,,,,,,,,,,,
Sakaiminato - Yonago Airport: 190 yen,,,,,,,,,,,,,,,,,,,
WEEKDAYS,,,,,,,,,,,,,,,,,,,
Sakaiminato-Yonago,,,,,,,,,,,,,,,,,,,
km,Station,,1632D,1634D,1636D,1638D,1640D,1642D,1646D,1648D,1650D,1652D,1654D,1656D,1658D,1660D,1662D,1664D,1666D
0, 境港,SAKAIMINATO,05:35,06:15,07:13,08:05,09:18,10:27,12:33,13:35,14:37,15:53,16:42,17:31,18:22,19:13,20:22,21:28,22:36
0.7,馬場崎町,Babasakicho,05:37,06:18,07:16,08:08,09:21,10:30,12:36,13:38,14:40,15:56,16:44,17:33,18:24,19:16,20:25,21:31,22:39
1.6,上道 ,Agarimichi,05:40,06:21,07:18,08:11,09:24,10:32,12:38,13:40,14:42,15:59,16:47,17:36,18:27,19:19,20:27,21:33,22:41
2.9,余子,Amariko,05:43,06:24,07:22,08:14,09:28,10:35,12:41,13:43,14:45,16:03,16:51,17:40,18:30,19:22,20:30,21:36,22:44
3.6,高松町,Takamatsucho,05:45,06:27,07:24,08:17,09:30,10:37,12:43,13:45,14:47,16:06,16:53,17:42,18:32,19:25,20:32,21:39,22:47
4.7,中浜,Nakahama,05:54,06:30,07:28,08:23,09:34,10:40,12:47,13:48,14:51,16:10,17:01,17:49,18:38,19:28,20:35,21:42,22:50
5.2,米子空港,YONAGO AIRPORT,05:57,06:33,07:30,08:25,09:36,10:42,12:49,13:51,14:53,16:12,17:03,17:52,18:40,19:31,20:38,21:44,22:52
6.8,大篠津町,Oshinozucho,06:01,06:36,07:34,08:29,09:40,10:46,12:52,13:54,14:56,16:16,17:07,17:55,18:43,19:34,20:41,21:48,22:56
8.2,和田浜,Wadahama,06:04,06:39,07:37,08:32,09:43,10:48,12:55,13:56,14:59,16:19,17:10,17:58,18:46,19:37,20:44,21:51,22:59
10.7,弓ケ浜,Yumigahama,06:16,06:44,07:42,08:37,09:52,10:53,12:59,14:01,15:04,16:25,17:15,18:03,18:51,19:46,20:49,21:59,23:04
12.6,河崎口,Kawasakiguchi,06:19,06:48,07:46,08:41,09:56,10:56,13:03,14:05,15:07,16:28,17:18,18:06,18:54,19:50,20:52,22:03,23:07
14.6,三本松口,Sambommatsuguchi,06:23,06:52,07:50,08:45,10:00,11:00,13:07,14:09,15:11,16:33,17:23,18:10,18:58,19:54,20:56,22:07,23:11
15.7,後藤,Goto,06:27,06:58,07:56,08:48,10:03,11:03,13:10,14:12,15:14,16:36,17:29,18:14,19:01,19:57,20:59,22:10,23:14
16.4,富士見町,Fujimicho,06:30,07:00,07:59,08:50,10:06,11:06,13:13,14:14,15:17,16:38,17:31,18:17,19:03,19:59,21:01,22:13,23:17
16.9,博労町,Bakurōmachi,06:32,07:03,08:03,08:53,10:08,11:08,13:15,14:17,15:19,16:41,17:34,18:20,19:05,20:01,21:03,22:15,23:19
17.9,米子,YONAGO,06:35,07:06,08:06,08:56,10:11,11:11,13:18,14:20,15:22,16:44,17:37,18:23,19:08,20:04,21:05,22:18,23:22
,,,,,,,,,,,,,,,,,,,
Yonago-Sakaiminato,,,,,,,,,,,,,,,,,,,
km,Station,,1631D,1633D,1635D,1637D,1639D,1643D,1645D,1647D,1649D,1651D,1653D,1655D,1657D,1659D,1661D,1663D,1665D
0,米子,YONAGO,05:17,05:53,06:49,07:48,09:33,11:34,12:37,13:38,14:40,15:32,16:25,17:15,18:03,19:29,20:25,21:41,22:40
1,博労町,Bakuromachi,05:20,05:56,06:53,07:51,09:36,11:37,12:40,13:41,14:43,15:35,16:28,17:18,18:06,19:32,20:28,21:44,22:43
1.5,富士見町,Fujimicho,05:23,05:59,06:55,07:54,09:38,11:39,12:42,13:43,14:45,15:37,16:30,17:19,18:08,19:33,20:30,21:46,22:45
2.2,後藤,Goto,05:26,06:01,06:59,07:56,09:41,11:42,12:44,13:46,14:48,15:40,16:36,17:26,18:13,19:36,20:33,21:48,22:48
3.3,三本松口,Sambommatsuguchi,05:29,06:04,07:02,07:59,09:44,11:45,12:47,13:48,14:51,15:43,16:38,17:28,18:16,19:39,20:35,21:51,22:51
5.3,河崎口,Kawasakiguchi,05:33,06:09,07:06,08:04,09:47,11:49,12:51,13:52,14:55,15:47,16:42,17:32,18:20,19:42,20:39,21:55,22:55
7.2,弓ケ浜,Yumigahama,05:37,06:13,07:10,08:08,09:51,11:57,13:00,14:02,15:04,15:52,16:47,17:36,18:24,19:47,20:49,22:00,23:04
9.7,和田浜,Wadahama,05:42,06:18,07:15,08:13,09:56,12:02,13:04,14:06,15:09,15:56,16:51,17:40,18:29,19:51,20:53,22:04,23:08
11.1,大篠津町,Oshinozucho,05:45,06:21,07:18,08:16,09:58,12:04,13:07,14:09,15:12,15:59,16:54,17:43,18:31,19:54,20:56,22:07,23:11
12.7,米子空港,YONAGO AIRPORT,05:49,06:25,07:22,08:20,10:02,12:08,13:10,14:12,15:16,16:03,16:58,17:46,18:35,19:57,21:00,22:10,23:15
13.2,中浜,Nakahama,05:52,06:32,07:29,08:24,10:05,12:11,13:13,14:15,15:19,16:11,17:02,17:51,18:40,20:00,21:03,22:13,23:17
14.3,高松町,Takamatsucho,05:55,06:35,07:32,08:27,10:07,12:13,13:15,14:18,15:22,16:14,17:05,17:54,18:42,20:03,21:05,22:16,23:20
15,余子,Amariko,05:57,06:37,07:35,08:30,10:09,12:15,13:18,14:20,15:24,16:16,17:07,17:56,18:45,20:05,21:07,22:18,23:22
16.3,上道,Agarimichi,06:00,06:41,07:39,08:33,10:12,12:18,13:20,14:23,15:27,16:20,17:10,17:59,18:48,20:07,21:10,22:21,23:25
17.2,馬場崎町,Babasakicho,06:03,06:44,07:43,08:36,10:15,12:21,13:23,14:25,15:30,16:22,17:13,18:01,18:50,20:10,21:13,22:23,23:27
17.9,境港,SAKAIMINATO,06:05,06:46,07:45,08:38,10:17,12:23,13:25,14:27,15:32,16:25,17:15,18:03,18:52,20:12,21:15,22:25,23:29
,,,,,,,,,,,,,,,,,,,
WEEKENDS,,,,,,,,,,,,,,,,,,,
Sakaiminato-Yonago,,,,,,,,,,,,,,,,,,,
km,Station,,1632K,1634K,1636K,1638K,1640K,1642K,1644K,1646K,1648K,1650K,1652K,1654K,1656K,1658K,1660K,,
